Removed Pin From Net: NetName=GND Pin=C3-1
Removed Pin From Net: NetName=GND Pin=C14-1
Removed Pin From Net: NetName=GND Pin=C18-1
Removed Member From Class: ClassName=Processing_Rev3 Member=C14
Removed Member From Class: ClassName=Processing_Rev3 Member=C18
Change Component Footprint: Designator=C3 Old Footprint=CAP 0805_2012 New Footprint=FP-GRM21B-0_1-IPC_B
Change Component Comment : Designator=C3 Old Comment=0.1µF New Comment=GRM21B7U1A104JA01L
Change Managed Component Library Link : Designator=C3 Old VaultGUID= New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID= New ItemGUID=2C60E751-D5A0-49D0-9984-AD63390B88EC Old RevisionGUID= New RevisionGUID=603BBC75-0F7A-424B-954C-9A18DD8CFAE9
Change component parameters: Designator = "C3" ("C3"); Footprint = "CAP 0805_2012"; UniqueID = "\RFXCJLPR" ("\RFXCJLPR")
Added Pin To Net: NetName=Neo_Data Pin=J0-17
Added Pin To Net: NetName=Neo_Data Pin=R7-1
Added Net: Name=Neo_Data
Added Pin To Net: NetName=Net0_1 Pin=0-1
Added Pin To Net: NetName=Net0_1 Pin=SW0-2
Added Net: Name=Net0_1
Added Pin To Net: NetName=Net0_2 Pin=0-2
Added Pin To Net: NetName=Net0_2 Pin=C1-1
Added Pin To Net: NetName=Net0_2 Pin=P1-1
Added Pin To Net: NetName=Net0_2 Pin=U0-3
Added Net: Name=Net0_2
Added Pin To Net: NetName=NetC2_1 Pin=C2-1
Added Pin To Net: NetName=NetC2_1 Pin=C3-1
Added Pin To Net: NetName=NetC2_1 Pin=U1-2
Added Net: Name=NetC2_1
Added Pin To Net: NetName=NetC4_1 Pin=C4-1
Added Pin To Net: NetName=NetC4_1 Pin=U1-17
Added Net: Name=NetC4_1
Added Pin To Net: NetName=NetC5_1 Pin=C5-1
Added Pin To Net: NetName=NetC5_1 Pin=U1-16
Added Net: Name=NetC5_1
Added Pin To Net: NetName=NetC6_2 Pin=C6-2
Added Pin To Net: NetName=NetC6_2 Pin=U2-3
Added Net: Name=NetC6_2
Added Pin To Net: NetName=NetC8_2 Pin=C8-2
Added Pin To Net: NetName=NetC8_2 Pin=U4-3
Added Net: Name=NetC8_2
Added Pin To Net: NetName=NetC9_2 Pin=C9-2
Added Pin To Net: NetName=NetC9_2 Pin=U5-3
Added Net: Name=NetC9_2
Added Pin To Net: NetName=NetC10_2 Pin=C10-2
Added Pin To Net: NetName=NetC10_2 Pin=U6-3
Added Net: Name=NetC10_2
Added Pin To Net: NetName=NetC13_2 Pin=C13-2
Added Pin To Net: NetName=NetC13_2 Pin=U9-3
Added Net: Name=NetC13_2
Added Pin To Net: NetName=NetDS0_1 Pin=DS0-1
Added Pin To Net: NetName=NetDS0_1 Pin=R0-1
Added Net: Name=NetDS0_1
Added Pin To Net: NetName=NetR0_2 Pin=R0-2
Added Pin To Net: NetName=NetR0_2 Pin=U0-1
Added Net: Name=NetR0_2
Added Pin To Net: NetName=NetR1_2 Pin=R1-2
Added Pin To Net: NetName=NetR1_2 Pin=U0-5
Added Net: Name=NetR1_2
Added Pin To Net: NetName=NetR5_2 Pin=R5-2
Added Pin To Net: NetName=NetR5_2 Pin=U1-3
Added Net: Name=NetR5_2
Added Pin To Net: NetName=NetR6_2 Pin=R6-2
Added Pin To Net: NetName=NetR6_2 Pin=U1-6
Added Net: Name=NetR6_2
Added Pin To Net: NetName=NetR7_2 Pin=R7-2
Added Pin To Net: NetName=NetR7_2 Pin=U2-4
Added Net: Name=NetR7_2
Added Pin To Net: NetName=NetU2_2 Pin=U2-2
Added Pin To Net: NetName=NetU2_2 Pin=U3-4
Added Net: Name=NetU2_2
Added Pin To Net: NetName=NetU3_2 Pin=U3-2
Added Pin To Net: NetName=NetU3_2 Pin=U4-4
Added Net: Name=NetU3_2
Added Pin To Net: NetName=NetU4_2 Pin=U4-2
Added Pin To Net: NetName=NetU4_2 Pin=U5-4
Added Net: Name=NetU4_2
Added Pin To Net: NetName=NetU5_2 Pin=U5-2
Added Pin To Net: NetName=NetU5_2 Pin=U6-4
Added Net: Name=NetU5_2
Added Pin To Net: NetName=NetU6_2 Pin=U6-2
Added Pin To Net: NetName=NetU6_2 Pin=U7-4
Added Net: Name=NetU6_2
Added Pin To Net: NetName=NetU7_2 Pin=U7-2
Added Pin To Net: NetName=NetU7_2 Pin=U8-4
Added Net: Name=NetU7_2
Added Pin To Net: NetName=NetU8_2 Pin=U8-2
Added Pin To Net: NetName=NetU8_2 Pin=U9-4
Added Net: Name=NetU8_2
Added Pin To Net: NetName=NSS1 Pin=J1-11
Added Pin To Net: NetName=NSS1 Pin=P0-1
Added Net: Name=NSS1
Added Pin To Net: NetName=R Pin=J1-16
Added Net: Name=R
Added Pin To Net: NetName=SCK1 Pin=J1-10
Added Pin To Net: NetName=SCK1 Pin=P0-2
Added Net: Name=SCK1
Added Pin To Net: NetName=SCL1 Pin=J0-14
Added Pin To Net: NetName=SCL1 Pin=R3-1
Added Pin To Net: NetName=SCL1 Pin=U1-20
Added Net: Name=SCL1
Added Pin To Net: NetName=SDA1 Pin=J0-15
Added Pin To Net: NetName=SDA1 Pin=R4-1
Added Pin To Net: NetName=SDA1 Pin=U1-19
Added Net: Name=SDA1
Change Class Name : Old Net Name=Processing_Rev3 New Net Name=MCU_Interconnect_Rev1
Added Member To Class: ClassName=MCU_Interconnect_Rev1 Member=Component 0 MF-SM075-2
Added Member To Class: ClassName=MCU_Interconnect_Rev1 Member=Component C0 GRM21BR71C475KE51L
Added Member To Class: ClassName=MCU_Interconnect_Rev1 Member=Component C1 GRM21BR71C475KE51L
Added Member To Class: ClassName=MCU_Interconnect_Rev1 Member=Component C2 GRM219R7YA105KA12D
Added Member To Class: ClassName=MCU_Interconnect_Rev1 Member=Component C4 GCM21BR71H224KA37L
Added Member To Class: ClassName=MCU_Interconnect_Rev1 Member=Component C5 GRM21B7U1A104JA01L
Added Member To Class: ClassName=MCU_Interconnect_Rev1 Member=Component C6 GRM21B7U1A104JA01L
Added Member To Class: ClassName=MCU_Interconnect_Rev1 Member=Component C7 GRM21B7U1A104JA01L
Added Member To Class: ClassName=MCU_Interconnect_Rev1 Member=Component C8 GRM21B7U1A104JA01L
Added Member To Class: ClassName=MCU_Interconnect_Rev1 Member=Component C9 GRM21B7U1A104JA01L
Added Member To Class: ClassName=MCU_Interconnect_Rev1 Member=Component C10 GRM21B7U1A104JA01L
Added Member To Class: ClassName=MCU_Interconnect_Rev1 Member=Component C11 GRM21B7U1A104JA01L
Added Member To Class: ClassName=MCU_Interconnect_Rev1 Member=Component C12 GRM21B7U1A104JA01L
Added Member To Class: ClassName=MCU_Interconnect_Rev1 Member=Component C13 GRM21B7U1A104JA01L
Added Member To Class: ClassName=MCU_Interconnect_Rev1 Member=Component DS0 LTST-C170KGKT
Added Member To Class: ClassName=MCU_Interconnect_Rev1 Member=Component J0 2-826646-0
Added Member To Class: ClassName=MCU_Interconnect_Rev1 Member=Component J1 2-826646-0
Added Member To Class: ClassName=MCU_Interconnect_Rev1 Member=Component P0 B4B-PH-K-S(LF)(SN)
Added Member To Class: ClassName=MCU_Interconnect_Rev1 Member=Component P1 S2B-PH-K-S(LF)(SN)
Added Member To Class: ClassName=MCU_Interconnect_Rev1 Member=Component R0 RC0805FR-07470RL
Added Member To Class: ClassName=MCU_Interconnect_Rev1 Member=Component R1 ERJ-6ENF1001V
Added Member To Class: ClassName=MCU_Interconnect_Rev1 Member=Component R2 ERJ-6ENF4701V
Added Member To Class: ClassName=MCU_Interconnect_Rev1 Member=Component R3 ERJ-6ENF4701V
Added Member To Class: ClassName=MCU_Interconnect_Rev1 Member=Component R4 ERJ-6ENF4701V
Added Member To Class: ClassName=MCU_Interconnect_Rev1 Member=Component R5 ERJ-6ENF1003V
Added Member To Class: ClassName=MCU_Interconnect_Rev1 Member=Component R6 ERJ-6ENF1003V
Added Member To Class: ClassName=MCU_Interconnect_Rev1 Member=Component R7 ERJ-6GEYJ471V
Added Member To Class: ClassName=MCU_Interconnect_Rev1 Member=Component SW0 25536NA6
Added Member To Class: ClassName=MCU_Interconnect_Rev1 Member=Component U0 MCP73832T-2ACI/OT
Added Member To Class: ClassName=MCU_Interconnect_Rev1 Member=Component U1 IS31FL3731-SALS2
Added Member To Class: ClassName=MCU_Interconnect_Rev1 Member=Component U2 1655
Added Member To Class: ClassName=MCU_Interconnect_Rev1 Member=Component U3 1655
Added Member To Class: ClassName=MCU_Interconnect_Rev1 Member=Component U4 1655
Added Member To Class: ClassName=MCU_Interconnect_Rev1 Member=Component U5 1655
Added Member To Class: ClassName=MCU_Interconnect_Rev1 Member=Component U6 1655
Added Member To Class: ClassName=MCU_Interconnect_Rev1 Member=Component U7 1655
Added Member To Class: ClassName=MCU_Interconnect_Rev1 Member=Component U8 1655
Added Member To Class: ClassName=MCU_Interconnect_Rev1 Member=Component U9 1655
Added Room: Name=KeyMatrixRev2
Added Room: Name=MCU_Interconnect_Rev1
